日期,标题,链接,公司名称,股票代码
2025-07-10,公告及通告 - [內幕消息] 公告2025年6月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0710/2025071000514_c.pdf,建業地產,00832
2025-07-04,月報表 截至二零二五年六月三十日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0704/2025070400724_c.pdf,恒大物业,06666
2025-07-04,月報表 截至二零二五年六月三十日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0704/2025070401551_c.pdf,建業地產,00832
2025-06-30,公告及通告 - [提名委員會的職權範圍] 提名委員會職權範圍及程序,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0630/2025063002801_c.pdf,建業地產,00832
2025-06-30,公告及通告 - [董事名單和他們的地位和作用] 董事名單與其角色和職能,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0630/2025063002795_c.pdf,建業地產,00832
2025-06-30,公告及通告 - [更換董事或重要行政職能或職責的變更] 委任提名委員會成員,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0630/2025063002777_c.pdf,建業地產,00832
2025-06-30,公告及通告 - [其他-業務發展最新情況] 業務更新,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0630/2025063002729_c.pdf,建業地產,00832
2025-06-25,公告及通告 - [股東周年大會的結果] 於2025年6月25日舉行的股東周年大會的投票結果,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0625/2025062501481_c.pdf,恒大物业,06666
2025-06-09,公告及通告 - [內幕消息] 公告2025年5月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0609/2025060900286_c.pdf,建業地產,00832
2025-06-05,月報表 截至二零二五年五月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0605/2025060500626_c.pdf,恒大物业,06666
2025-06-05,月報表 截至二零二五年五月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0605/2025060500336_c.pdf,建業地產,00832
2025-06-02,通函 - [在股東批准的情況下重選或委任董事] (1) 重選董事；及(2) 股東周年大會通告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0602/2025060203155_c.pdf,恒大物业,06666
2025-06-02,委任代表表格 謹訂於2025年6月25日（星期三）舉行之股東周年大會及其任何續會適用之代表委任表格,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0602/2025060203163_c.pdf,恒大物业,06666
2025-06-02,公告及通告 - [股東周年大會通告 / 暫停辦理過戶登記手續或更改暫停辦理過戶日期] 股東周年大會通告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0602/2025060203165_c.pdf,恒大物业,06666
2025-05-28,公告及通告 - [股東周年大會的結果] 2025年5月28日舉行的股東週年大會的投票結果,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0528/2025052800590_c.pdf,建業地產,00832
2025-05-15,公告及通告 - [更換董事或重要行政職能或職責的變更] 委任獨立非執行董事,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0515/2025051501264_c.pdf,恒大物业,06666
2025-05-15,公告及通告 - [董事名單和他們的地位和作用] 董事名單及其角色和職能,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0515/2025051501270_c.pdf,恒大物业,06666
